"d8_1","d8_2","d8_3","d9","d10","d11","d14","d181","estred13","d16","d260","d20","d21_1","d21_4_1","d21_11","d21_12","d21_13","d21_14_1","d21_15_1","d21_15_4","d21_18","d21_18_1","d21_19","d21_19_1","d23","d24","d25","h171_2","ht2","ht9","YHOG","YSVL","e27","e45_1","e45_2","e45_3","e46","e51_4","e210_1","e51_5","e210_2","e212","e215","e218"
2,0,12000,4,2,1,1,2,7,1,1,3,1,1,2,2,1,1,1,2,1,1,1,1,2,1,3,0,1,0,5553,60607,13,1,2,2,2,9,1,0,0,0,0,0
8,0,1500,2,1,1,1,2,10,2,6,3,2,0,2,2,2,0,0,0,2,0,2,0,1,0,1,0,0,1,4032,16032,26,1,2,2,2,0,0,0,0,3,0,0
2,0,20000,3,3,1,1,2,8,2,3,3,1,0,2,2,1,1,1,2,1,1,2,0,3,0,3,0,1,1,2032,100096,27,2,1,2,2,3,1,3,1,3,3,2
2,0,12000,7,3,1,2,1,8,1,1,1,1,0,2,2,1,4,0,0,2,0,2,0,1,0,1,0,1,1,9951,52101,92,2,1,2,2,3,1,3,1,3,2,3
2,0,5000,4,2,1,1,2,10,1,6,3,1,2,2,2,1,0,1,0,2,0,2,0,4,1,5,0,4,2,4064,30764,63,2,2,2,2,0,0,0,0,3,0,0
2,0,15000,3,2,1,1,2,2,1,3,3,1,0,2,2,1,1,2,2,2,0,2,0,4,0,4,0,3,3,9642,68756,63,2,1,2,1,0,0,0,0,3,0,0
2,0,13000,4,3,1,1,2,9,1,3,3,1,0,2,2,1,1,2,1,1,1,1,1,3,1,4,0,3,1,4054,55766,12,2,1,2,2,0,0,0,0,0,0,0
2,0,10000,4,2,1,1,2,12,1,5,3,1,0,2,2,1,1,1,1,1,1,2,0,1,1,2,0,1,0,1963,74926,35,2,1,2,2,3,1,3,1,3,2,3
2,0,12000,4,3,1,1,2,9,1,5,3,1,0,2,2,1,2,1,0,1,1,1,1,3,2,5,0,3,2,8011.1,48611.1,7,2,1,2,2,0,0,0,0,0,0,0
5,0,2600,4,2,1,1,2,7,2,5,3,1,1,2,2,2,1,0,0,1,1,2,0,2,0,2,0,1,2,4064,35064,60,2,1,2,2,0,0,0,0,3,0,0
8,0,0,3,2,1,1,2,8,2,5,3,1,1,2,2,2,0,0,0,2,0,2,0,1,0,1,0,0,1,4963,15963,36,1,2,2,2,0,0,0,0,3,0,0
